#TYPE System.IO.DirectoryInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","BaseName","Mode","Name","Parent","Exists","Root","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Aleria","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Aleria","C","Microsoft.PowerShell.Core\FileSystem","True","Aleria","d----","Aleria","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Aleria","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:20:14 PM","7/19/2011 11:20:14 PM","7/19/2011 5:20:14 PM","7/19/2011 11:20:14 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Bldg","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Bldg","C","Microsoft.PowerShell.Core\FileSystem","True","Bldg","d----","Bldg","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Bldg","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:28 PM","7/19/2011 11:21:28 PM","7/19/2011 5:21:28 PM","7/19/2011 11:21:28 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Danath","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Danath","C","Microsoft.PowerShell.Core\FileSystem","True","Danath","d----","Danath","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Danath","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:22 PM","7/19/2011 11:19:22 PM","7/19/2011 5:19:22 PM","7/19/2011 11:19:22 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\DeathKnt","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","DeathKnt","C","Microsoft.PowerShell.Core\FileSystem","True","DeathKnt","d----","DeathKnt","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\DeathKnt","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:38 PM","7/19/2011 11:21:38 PM","7/19/2011 5:21:38 PM","7/19/2011 11:21:38 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\DeathWng","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","DeathWng","C","Microsoft.PowerShell.Core\FileSystem","True","DeathWng","d----","DeathWng","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\DeathWng","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:20:46 PM","7/19/2011 11:20:46 PM","7/19/2011 5:20:46 PM","7/19/2011 11:20:46 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Dentarg","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Dentarg","C","Microsoft.PowerShell.Core\FileSystem","True","Dentarg","d----","Dentarg","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Dentarg","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:20:04 PM","7/19/2011 11:20:04 PM","7/19/2011 5:20:04 PM","7/19/2011 11:20:04 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Dragon","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Dragon","C","Microsoft.PowerShell.Core\FileSystem","True","Dragon","d----","Dragon","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Dragon","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:22 PM","7/19/2011 11:19:22 PM","7/19/2011 5:19:22 PM","7/19/2011 11:19:22 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Dwarf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Dwarf","C","Microsoft.PowerShell.Core\FileSystem","True","Dwarf","d----","Dwarf","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Dwarf","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:22 PM","7/19/2011 11:19:22 PM","7/19/2011 5:19:22 PM","7/19/2011 11:19:22 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Elves","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Elves","C","Microsoft.PowerShell.Core\FileSystem","True","Elves","d----","Elves","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Elves","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:21:07 PM","7/19/2011 11:21:07 PM","7/19/2011 5:21:07 PM","7/19/2011 11:21:07 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Gnome","Microsoft.PowerShell.Core\FileSystem::C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds","Gnome","C","Microsoft.PowerShell.Core\FileSystem","True","Gnome","d----","Gnome","WarCraft 2 Sounds","True","C:\","C:\Users\Joe\Documents\My Dropbox\Projects\Warcraft II\WarCraft 2 Sounds\Gnome","","7/19/2011 5:10:55 PM","7/19/2011 11:10:55 PM","7/19/2011 5:19:44 PM","7/19/2011 11:19:44 PM","7/19/2011 5:19:44 PM","7/19/2011 11:19:44 PM","Directory"
